VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Liver	COVAR	17349	-0.005199	-0.0093615	0.003796	0.91459	Liver	f680.4	Rent private housing	1	FALSE	Liver
Lung	COVAR	17349	0.0082635	0.015982	0.0054888	0.066104	Lung	f680.4	Rent private housing	1	FALSE	Lung
Minor_Salivary_Gland	COVAR	17349	0.0053806	0.010018	0.0057704	0.17556	Minor_Salivary_Gland	f680.4	Rent private housing	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17349	-0.0061272	-0.011589	0.0041813	0.92858	Muscle_Skeletal	f680.4	Rent private housing	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17349	-0.0053195	-0.01071	0.006038	0.81083	Nerve_Tibial	f680.4	Rent private housing	1	FALSE	Nerve Tibial
Ovary	COVAR	17349	-0.0065006	-0.01318	0.0057686	0.8701	Ovary	f680.4	Rent private housing	1	FALSE	Ovary
Pancreas	COVAR	17349	-0.0025236	-0.0042202	0.0050208	0.69238	Pancreas	f680.4	Rent private housing	1	FALSE	Pancreas
Pituitary	COVAR	17349	-0.0065874	-0.012283	0.0053507	0.89085	Pituitary	f680.4	Rent private housing	1	FALSE	Pituitary
Prostate	COVAR	17349	-0.0021806	-0.004138	0.0071375	0.62001	Prostate	f680.4	Rent private housing	1	FALSE	Prostate
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17349	0.0040035	0.0077239	0.0046183	0.19301	Skin_Not_Sun_Exposed_Suprapubic	f680.4	Rent private housing	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17349	0.0035686	0.0069273	0.004632	0.22053	Skin_Sun_Exposed_Lower_leg	f680.4	Rent private housing	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17349	-0.0015192	-0.0027946	0.0057043	0.605	Small_Intestine_Terminal_Ileum	f680.4	Rent private housing	1	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17349	0.001101	0.0021824	0.0044054	0.40133	Spleen	f680.4	Rent private housing	1	FALSE	Spleen
Stomach	COVAR	17349	-0.0069606	-0.012649	0.0072132	0.83272	Stomach	f680.4	Rent private housing	1	FALSE	Stomach
Testis	COVAR	17349	-0.0027021	-0.0046672	0.0033195	0.79217	Testis	f680.4	Rent private housing	1	FALSE	Testis
Thyroid	COVAR	17349	-0.00072831	-0.0014426	0.0057791	0.55014	Thyroid	f680.4	Rent private housing	1	FALSE	Thyroid
Uterus	COVAR	17349	-0.012479	-0.025429	0.0065144	0.97228	Uterus	f680.4	Rent private housing	1	FALSE	Uterus
Vagina	COVAR	17349	0.0076717	0.014676	0.006582	0.1219	Vagina	f680.4	Rent private housing	1	FALSE	Vagina
Whole_Blood	COVAR	17349	0.0019772	0.0035738	0.0033544	0.27779	Whole_Blood	f680.4	Rent private housing	1	FALSE	Whole Blood
Adipose_Subcutaneous	COVAR	17345	-0.021546	-0.043003	0.0070257	0.99892	Adipose_Subcutaneous	f884	Moderate physical activity frequency	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17345	-0.021949	-0.042632	0.0072932	0.99869	Adipose_Visceral_Omentum	f884	Moderate physical activity frequency	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17345	-0.00069028	-0.0013325	0.0065247	0.54213	Adrenal_Gland	f884	Moderate physical activity frequency	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17345	-0.012123	-0.024742	0.0066635	0.96556	Artery_Aorta	f884	Moderate physical activity frequency	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17345	-0.018084	-0.036003	0.0077664	0.99005	Artery_Coronary	f884	Moderate physical activity frequency	1	FALSE	Artery Coronary
