VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Colon	COVAR	17359	-0.0077332	-0.014482	0.011593	0.74763	f924	Walking pace	1	FALSE	Colon
Esophagus	COVAR	17359	-0.022529	-0.04246	0.012557	0.9636	f924	Walking pace	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17359	-0.0047622	-0.0092436	0.010169	0.68022	f924	Walking pace	1	FALSE	Fallopian Tube
Heart	COVAR	17359	-0.0055622	-0.0095749	0.0069579	0.78796	f924	Walking pace	1	FALSE	Heart
Kidney	COVAR	17359	-0.0099741	-0.01756	0.0069226	0.92517	f924	Walking pace	1	FALSE	Kidney
Liver	COVAR	17359	-0.001792	-0.0032278	0.0047512	0.64697	f924	Walking pace	1	FALSE	Liver
Lung	COVAR	17359	-0.0083275	-0.016109	0.0077073	0.86002	f924	Walking pace	1	FALSE	Lung
Muscle	COVAR	17359	-0.0035918	-0.0067952	0.0049794	0.76464	f924	Walking pace	1	FALSE	Muscle
Nerve	COVAR	17359	-0.00059335	-0.0011949	0.0076306	0.53099	f924	Walking pace	1	FALSE	Nerve
Ovary	COVAR	17359	0.011472	0.023265	0.0075211	0.063599	f924	Walking pace	1	FALSE	Ovary
Pancreas	COVAR	17359	0.0019605	0.0032792	0.0063757	0.37924	f924	Walking pace	1	FALSE	Pancreas
Pituitary	COVAR	17359	0.027181	0.050693	0.0060928	4.1038e-06	f924	Walking pace	0.0001066988	TRUE	Pituitary
Prostate	COVAR	17359	-0.01106	-0.020996	0.010147	0.86215	f924	Walking pace	1	FALSE	Prostate
Salivary_Gland	COVAR	17359	-0.016309	-0.030372	0.0079049	0.98045	f924	Walking pace	1	FALSE	Salivary Gland
Skin	COVAR	17359	0.0060659	0.011574	0.0073293	0.20395	f924	Walking pace	1	FALSE	Skin
Small_Intestine	COVAR	17359	-0.0035347	-0.0065036	0.0078852	0.67302	f924	Walking pace	1	FALSE	Small Intestine
Spleen	COVAR	17359	-0.004486	-0.008895	0.0057265	0.78329	f924	Walking pace	1	FALSE	Spleen
Stomach	COVAR	17359	-0.020096	-0.036528	0.010032	0.97742	f924	Walking pace	1	FALSE	Stomach
Testis	COVAR	17359	0.0080972	0.013982	0.0040403	0.022537	f924	Walking pace	0.585962	FALSE	Testis
Thyroid	COVAR	17359	0.005291	0.010482	0.0079125	0.25185	f924	Walking pace	1	FALSE	Thyroid
Uterus	COVAR	17359	-0.0024797	-0.0050546	0.0088258	0.61063	f924	Walking pace	1	FALSE	Uterus
Vagina	COVAR	17359	-0.012278	-0.023494	0.0091846	0.90936	f924	Walking pace	1	FALSE	Vagina
Adipose_Tissue	COVAR	17355	-0.027286	-0.053596	0.0088321	0.999	f943	Stair climbing frequency	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17355	0.0069436	0.013409	0.0067827	0.15299	f943	Stair climbing frequency	1	FALSE	Adrenal Gland
Bladder	COVAR	17355	-0.025099	-0.048948	0.010704	0.99048	f943	Stair climbing frequency	1	FALSE	Bladder
Blood	COVAR	17355	0.0070297	0.012629	0.0040956	0.043053	f943	Stair climbing frequency	1	FALSE	Blood
Blood_Vessel	COVAR	17355	-0.013298	-0.026991	0.0077479	0.95693	f943	Stair climbing frequency	1	FALSE	Blood Vessel
Brain	COVAR	17355	0.017548	0.030487	0.0045332	5.4413e-05	f943	Stair climbing frequency	0.001414738	TRUE	Brain
Breast	COVAR	17355	-0.037865	-0.072849	0.010485	0.99985	f943	Stair climbing frequency	1	FALSE	Breast
Cervix_Uteri	COVAR	17355	-0.026044	-0.051195	0.0093892	0.99723	f943	Stair climbing frequency	1	FALSE	Cervix Uteri
Colon	COVAR	17355	-0.016677	-0.031231	0.010429	0.94509	f943	Stair climbing frequency	1	FALSE	Colon
Esophagus	COVAR	17355	-0.013295	-0.025057	0.011329	0.87971	f943	Stair climbing frequency	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17355	-0.016553	-0.032133	0.0091823	0.96427	f943	Stair climbing frequency	1	FALSE	Fallopian Tube
